id_estado;estado;municipio;id_municipio;suma_votos_validos;suma_votos_nulos;suma_EG;suma_NM;suma_LM;suma_JABE;suma_JOBR;suma_AE;suma_CF;suma_DC;suma_EM;suma_BERA;total_otros_candidatos;porc_EG;porc_NM;porc_otros
14;Mérida;sucre;1420;24746;4;17908;6343;184;18;47;85;23;19;79;40;495;72,36725127;25,63242544;2,000323285
14;Mérida;tovar;1421;14302;1;11766;2351;82;9;13;22;8;15;23;13;185;82,26821424;16,43826038;1,293525381
14;Mérida;tulio f cordero;1422;14950;0;10313;4391;89;23;13;33;12;10;42;24;246;68,98327759;29,37123746;1,64548495
14;Mérida;zea;1423;5379;0;4386;944;21;3;3;7;1;2;10;2;49;81,53931958;17,54973043;0,910949991
15;Miranda;acevedo;1501;25300;1;10702;13877;272;52;56;141;27;34;58;81;721;42,30039526;54,84980237;2,849802372
15;Miranda;andres bello;1502;10222;1;4227;5680;114;14;30;69;15;5;30;38;315;41,35198591;55,56642536;3,08158873
15;Miranda;baruta;1503;107401;20;89904;15298;554;106;131;482;142;75;142;567;2199;83,7087178;14,24381523;2,04746697
15;Miranda;brion;1504;12816;2;7222;5149;166;35;27;70;25;19;43;60;445;56,35143571;40,17634207;3,472222222
15;Miranda;buroz;1505;12609;2;5552;6664;148;21;41;71;21;12;27;52;393;44,03204061;52,85113808;3,116821318
15;Miranda;carrizal;1506;24878;3;18815;5378;216;41;39;118;33;19;68;151;685;75,62906986;21,61749337;2,753436771
15;Miranda;chacao;1507;38252;12;32325;5140;138;42;33;213;70;29;70;192;787;84,50538534;13,4372059;2,057408763
15;Miranda;cristobal rojas;1508;57188;8;35256;19927;491;173;142;427;96;64;121;491;2005;61,64929706;34,84472267;3,505980276
15;Miranda;el hatillo;1509;32041;5;26704;4617;219;34;45;134;44;34;46;164;720;83,3432165;14,40966262;2,247120876
15;Miranda;guaicaipuro;1510;116715;9;81306;31492;1079;242;276;696;248;151;277;948;3917;69,66199717;26,98196461;3,356038213
15;Miranda;independencia;1511;57724;12;30309;25253;583;178;178;457;88;68;126;484;2162;52,50675629;43,74783452;3,745409189
15;Miranda;lander;1512;61405;6;28593;30490;656;162;164;543;96;91;137;473;2322;46,564612;49,65393698;3,781451022
15;Miranda;los salias;1513;30123;7;24537;4916;151;22;31;139;63;22;49;193;670;81,45603028;16,31975567;2,224214056
15;Miranda;paez;1514;19854;0;8393;10903;256;30;54;83;19;16;51;49;558;42,27359726;54,91588597;2,810516772
15;Miranda;paz castillo;1515;37085;3;19060;16639;393;124;92;316;61;50;88;262;1386;51,3954429;44,86719698;3,737360119
15;Miranda;pedro gual;1516;8310;0;3694;4380;87;14;24;50;11;10;24;16;236;44,45246691;52,70758123;2,839951865
15;Miranda;plaza;1517;11758;1;9204;2272;64;17;18;54;19;9;17;84;282;78,27861881;19,32301412;2,398367069
15;Miranda;simon bolivar;1518;18943;2;8805;9480;184;42;49;116;28;28;42;169;658;46,48154991;50,04487146;3,473578631
15;Miranda;sucre;1519;179494;16;125545;48491;1425;387;315;1184;298;184;323;1342;5458;69,94384213;27,0153877;3,040770165
15;Miranda;urdaneta;1520;45144;3;26436;17060;481;94;95;344;93;75;100;366;1648;58,55927698;37,79018253;3,650540493
15;Miranda;zamora;1521;82489;11;52814;26841;801;182;211;608;164;82;166;620;2834;64,02550643;32,53888397;3,435609596
16;Monagas;acosta;1601;10659;2;6275;4223;51;3;20;28;6;5;39;9;161;58,87043813;39,61910123;1,510460644
